Tmem169_1	ENSMUSG00000026188
Xrcc5_1	ENSMUSG00000026187
Xrcc5_2	ENSMUSG00000026187
March4_1	ENSMUSG00000039372
Smarcal1_1	ENSMUSG00000039354
Ankar_1	ENSMUSG00000039342
Ankar_1	ENSMUSG00000039342
Ankar_1	ENSMUSG00000039342
Ankar_1	ENSMUSG00000039342
Rpl37a_1	ENSMUSG00000046330
Igfbp2_1	ENSMUSG00000039323
Igfbp5_1	ENSMUSG00000026185
Tnp1_1	ENSMUSG00000026182
1700027A15Rik_1	ENSMUSG00000101968
Tns1_3	ENSMUSG00000055322
Tns1_1	ENSMUSG00000055322
Tns1_2	ENSMUSG00000055322
Tns1_2	ENSMUSG00000055322
Rufy4_1	ENSMUSG00000061815
Rufy4_1	ENSMUSG00000061815
Cxcr2_1	ENSMUSG00000026180
Arpc2_1	ENSMUSG00000006304
Arpc2_1	ENSMUSG00000006304
Arpc2_1	ENSMUSG00000006304
Aamp_1	ENSMUSG00000006299
Aamp_1	ENSMUSG00000006299
Pnkd_1	ENSMUSG00000026179
Tmbim1_1	ENSMUSG00000006301
Tmbim1_2	ENSMUSG00000006301
Pnkd_2	ENSMUSG00000026179
AK158483_1	ENSMUSG00000026179
Catip_1	ENSMUSG00000073650
Slc11a1_1	ENSMUSG00000026177
Ctdsp1_1	ENSMUSG00000026176
Vil1_1	ENSMUSG00000026175
Usp37_2	ENSMUSG00000033364
Usp37_1	ENSMUSG00000033364
Usp37_1	ENSMUSG00000033364
Cnot9_1	ENSMUSG00000026174
Cnot9_2	ENSMUSG00000026174
Plcd4_1	ENSMUSG00000026173
Plcd4_2	ENSMUSG00000026173
Zfp142_1	ENSMUSG00000026135
Zfp142_1	ENSMUSG00000026135
Zfp142_2	ENSMUSG00000026135
Bcs1l_1	ENSMUSG00000026172
Bcs1l_1	ENSMUSG00000026172
Rnf25_1	ENSMUSG00000026171
Rnf25_1	ENSMUSG00000026171
Stk36_1	ENSMUSG00000033276
Ttll4_1	ENSMUSG00000033257
Cyp27a1_1	ENSMUSG00000026170
Prkag3_1	ENSMUSG00000006542
Wnt6_1	ENSMUSG00000033227
Wnt10a_1	ENSMUSG00000026167
Cdk5r2_1	ENSMUSG00000090071
Cryba2_1	ENSMUSG00000006546
Cfap65_1	ENSMUSG00000047021
Ihh_1	ENSMUSG00000006538
Nhej1_1	ENSMUSG00000026162
Slc23a3_1	ENSMUSG00000026205
Cnppd1_2	ENSMUSG00000033159
Cnppd1_1	ENSMUSG00000033159
Cnppd1_1	ENSMUSG00000033159
